Name;Target market;RESTRICTION;Operator/Registry;Notes
.glass;Glass & glass repair shops, glass departments within home supply stores, contractors, windshield repair & auto glass businesses, DIYers/artists;;Donuts Inc;
.gle;Google abbreviations;In use for some URL abbreviations related to Google such as forms.gle and goo.gle.;Charleston Road Registry Inc. (a Google subsidiary);
.global;general;;Dot GLOBAL;
.gold;Jewelers, gold traders and dealers, coin sellers and traders, trophy and awards shops;;Donuts Inc;
.golf;Professional & amateur golf organizations, golf courses, equipment suppliers & manufacturers, golf travel & event companies, golf players, enthusiasts & spectators, sports networks;;Donuts Inc;
.google;Google;In use for some websites related to Google such as blog.google.;Alphabet Inc.;
.gop;Republican Party politics;;Republican State Leadership Committee;
.graphics;Web design firms, freelance designers, graphic artists;;Donuts Inc;
.green;the environmentally-focused;"As a Registrant you may not ... use a .green name or its content in a way that negatively affects the mission, purpose of the .green TLD, or its brand.";Afilias;
.gripe;Online complaint sites, online forums, customer service providers, feedback sites, blogs about scams;;Donuts Inc;
.grocery;grocery stores;Wal-Mart Stores, Inc.;;
.group;Groups based on hobbies or interests (running, crafts, gaming), group-based businesses (medical practices, law firms, financial advisors), professional associations, support groups;;Donuts Inc;
.guide;City resource sites for locals and travelers, travel writers & bloggers, local reviews websites, tourist attractions & guides, outdoor adventure companies;;Donuts Inc;
.guitars;Guitars;;Uniregistry;
.guru;Mindfulness & yoga practices, spiritual leadership sites, any training program, work-for-hire sites, freelancers, consultants, & subject matter experts;;Donuts Inc;
.hair;haircare products and services;L'Oréal;;
.hangout;Reserved for Google Hangouts;Charleston Road Registry Inc. (Google);;
.health;health and related topics;DotHealth, LLC;;
.healthcare;Primary/secondary care physicians, hospitals & clinics, healthcare insurance providers & brokers, company HR/benefits departments;;Donuts Inc;
.help;help sites;;Uniregistry;
.here;generic geographic;;Google;
.hiphop;Hip hop culture;;Uniregistry;
.hiv;AIDS and HIV;;dotHIV;
.hockey;Sports media, sporting goods stores & hockey equipment suppliers, professional, minor league & amateur hockey teams, hockey fans, fantasy leagues, sponsors, coaches & referees;;Donuts Inc;
.holdings;Holding companies, private equity firms, real estate developers;;Donuts Inc;
.holiday;Airline-related products or services, travel agencies, resources & services, travel writers & bloggers, city guides & resource sites, hotels, hostels, B&Bs, lodging;;Donuts Inc;
.homegoods;Reserved for HomeGoods;The TJX Companies, Inc.;;
.homes;real estate professionals;;Dominion Enterprises;
.homesense;Reserved for HomeSense;The TJX Companies, Inc.;;
.horse;horse-related businesses and interest;;Minds + Machines;
.hospital;Hospitals & clinics, healthcare providers, medical, dental, or vision specialists, insurance providers;Donuts Inc;;
.host;network companies;;Radix Registry;
.hosting;—;Uniregistry;;
.hot;Amazon Registry Services, Inc.;;;
.hotels;hotels and hospitality services;Booking.com B.V.;;
.house;Real estate brokers/agents, mortgage companies, home builders, construction/home improvement suppliers, home improvement sites & blogs;;Donuts Inc;
.how;how-to guides;;Google;
.ice;Reserved for Intercontinental Exchange;IntercontinentalExchange, Inc.;;
.icu;entrepreneurs and business owners;;ShortDot SA;
.industries;Machine or equipment manufacturers, manufacturers, tech or biotech companies, professional associations, businesses with “industries” in their names;;Donuts Inc;
.info;information;;Afilias;
.ing;"Verbal suffix: e.g., jump.ing.";;Google;
.ink;creative printing or tattooing;;Top Level Design;
.institute;Educational institutions, training programs, foundations, research organizations, military schools;;Donuts Inc;
.insurance;insurance companies;fTLD Registry Services LLC;;
.insure;Insurance companies (life, auto, homeowners, renters), insurance divisions of larger companies (car rentals, warranties), insurance brokers & advisors;;Donuts Inc;
.international;Any organization with an international presence, international consultants, import/export businesses, international travel organizations;;Donuts Inc;
.investments;Investment services (institutional, private), wealth management services, financial planners, brokerage firms;;Donuts Inc;
.irish;Airline-related products or services, domestic/International travel agencies, resources & services, travel writers & bloggers, Ireland travel guides & resource sites, seasonal opportunities (St. Patrick's Day);;Donuts Inc;
.jewelry;Jewelers, jewelry buyers, online retailers, department stores;;Donuts Inc;
.jobs;Employment;For websites with job opportunities and job listings.;Employ Media;
.joy;Amazon Registry Services, Inc.;;;
.kim;Kim (Korean surname);;Afilias;
.kitchen;Restaurants, cafes, & delis, food stands & mobile vendors, meal services & personal chefs, kitchen supply stores, food blogs & recipe sites;;Donuts Inc;
.land;Real estate brokers and agents, residential/commercial land developers, home builders, mortgage companies, traditional “classified” sites;;Donuts Inc;
.lat;for Latin American communities and users wherever they may reside;ECOM-LAC;;
.law;practitioners and educators in law;Restricted to qualified lawyers, courts of law, law schools, and legal regulators.;Minds + Machines Group Limited;
.lawyer;Independent attorneys and law firms of any size, legal services entities, elected officials and judges, professional organizations, law students;;Donuts Inc;
.lease;Real estate brokers/agents, property managers, condo/apartment developers, real estate law firms;;Donuts Inc;
.legal;Attorneys, lawyers & law firms, corporate legal teams, paralegals, legal advocates, committees, associations and interest groups associated with the law;;Donuts Inc;
.lgbt;the lesbian, gay, bisexual and transgender community;Registrants are prohibited from using the .LGBT domain in a manner that is harmful, threatening, abusive, harassing, defamatory, or hateful with respect to the LGBT community.;Afilias;
.life;Wellness and health experts, charities, coaches & personal development enthusiasts, lifestyle bloggers, anyone who wants to share personal stories;;Donuts Inc;
.lifeinsurance;life insurance;American Council of Life Insurers;;
.lighting;Lighting & lighting repair shops, lighting departments within home supply stores, contractors, commercial/residential architects, DIYers;;Donuts Inc;
.like;Amazon Registry Services, Inc.;;;
.limited;Private companies, limited by shares, limited companies, businesses with “limited” or “LTD” in their names, specialty products and services, businesses that sell limited-quantity products;;Donuts Inc;
.limo;Airline & travel-related products or services, city guides & tourist attractions, transportation businesses, hotels, lodging, weddings, party and occasion-related services;;Donuts Inc;
.link;connecting to information;;Uniregistry;
.live;Live streaming sites, entertainment/music venues, news sites/blogs, ticket sale/resale sites, video production companies;;Donuts Inc;
.living;Lifestyle Domain Holdings, Inc.;;;
.loan;banks and lenders;;Global Registry Services Ltd;
.loans;Mortgage companies, personal loan agencies, auto loan agencies & car dealerships, credit consolidation services;;Donuts Inc;
.locker;Reserved for DISH DBS Corporation;Dish DBS Corporation;;
.lol;LOL: laughing out loud;;Uniregistry;
.lotto;lottery;;Afilias;
.love;dating sites;;;
.ltd;Keep what is in this field but add the following:;;Donuts Inc;
;Private companies, limited by shares, limited companies, businesses with “limited” or “LTD” in their names, specialty products and services, businesses that sell limited-quantity products;;;
.luxury;businesses catering to the wealthy;;Luxury Partners;
.makeup;cosmetics products and retailers;L'Oréal;;
.management;Property managers, wealth management firms, money management, systems & network managers, leadership teams;;Donuts Inc;
.map;maps and navigation;Charleston Road Registry Inc. (Google);;
.market;Online retailers, independent or chain grocery stores, buyer and seller communities, discount sites & coupon sites;;Donuts Inc;
.marketing;Advertising/Marketing/PR/Design agencies, media buying/production companies (digital & traditional), staffing agencies, marketing consultants;;Donuts Inc;
.markets;financial and stock markets;;IG Group;
.mba;Colleges, universities, & graduate programs, online educational sites, job search sites, MBA candidates;;Donuts Inc;
.med;medicine and related topics;Medistry LLC;;
.media;Advertising/Marketing/PR/Design agencies, media buying/production companies (digital & traditional), news outlets, media bloggers, celebrity publications, digital publishers & graphic designers;;Donuts Inc;
.meet;social gatherings, meeting new people;;Afilias;
.meme;Internet memes;;Google;
.memorial;News site obituaries, personal tribute sites, floral & funeral arrangement companies;;Donuts Inc;
.men;men;;Global Registry Services Ltd;
.menu;restaurants;;Wedding TLD2;
.mint;Reserved for Intuit Mint;Intuit Administrative Services, Inc.;;
.mobi;mobile devices;Must be used for mobile-compatible sites in accordance with standards.;Afilias;
.mobile;Dish DBS Corporation;;;
.mobily;Reserved for Mobily;GreenTech Consultancy Company W.L.L.;;
